Time,Abstich GOK
2024-12-19 16:00:00,-28.30 mm
2024-12-19 19:00:00,-31.44 mm
2024-12-19 22:00:00,-30.79 mm
2024-12-20 07:00:00,-33.32 mm
2024-12-20 10:00:00,-32.78 mm
2024-12-20 16:00:00,-34.13 mm
2024-12-20 19:00:00,-35.29 mm
2024-12-20 22:00:00,-35.38 mm
2024-12-21 04:00:00,-34.19 mm
2024-12-21 07:00:00,-32.61 mm
2024-12-21 10:00:00,-32.58 mm
2024-12-21 16:00:00,-32.26 mm
2024-12-21 19:00:00,-29.26 mm
2024-12-22 04:00:00,-26.19 mm
2024-12-22 07:00:00,-21.89 mm
2024-12-22 10:00:00,-21.60 mm
2024-12-22 16:00:00,-20.60 mm
2024-12-22 22:00:00,-22.67 mm
2024-12-23 04:00:00,-23.15 mm
2024-12-23 07:00:00,-21.52 mm
2024-12-23 10:00:00,-20.61 mm
2024-12-23 16:00:00,-18.65 mm
2024-12-23 19:00:00,-21.91 mm
2024-12-23 22:00:00,-23.23 mm
2024-12-24 04:00:00,-24.15 mm
2024-12-24 07:00:00,-24.61 mm
2024-12-24 10:00:00,-24.51 mm
2024-12-24 16:00:00,-24.76 mm
2024-12-24 22:00:00,-24.56 mm
2024-12-25 04:00:00,-25.06 mm
2024-12-25 07:00:00,-25.15 mm
2024-12-25 10:00:00,-25.08 mm
2024-12-25 16:00:00,-25.35 mm
2024-12-25 19:00:00,-24.78 mm
2024-12-25 22:00:00,-25.11 mm
2024-12-26 04:00:00,-25.09 mm
2024-12-26 07:00:00,-25.40 mm
2024-12-26 10:00:00,-25.21 mm
2024-12-26 16:00:00,-25.45 mm
2024-12-26 19:00:00,-25.38 mm
2024-12-26 22:00:00,-25.31 mm
2024-12-27 04:00:00,-25.10 mm
2024-12-27 07:00:00,-24.94 mm
2024-12-27 10:00:00,-25.04 mm
2024-12-27 16:00:00,-24.93 mm
2024-12-27 19:00:00,-24.86 mm
2024-12-27 22:00:00,-24.64 mm
2024-12-28 04:00:00,-24.28 mm
2024-12-28 07:00:00,-24.19 mm
2024-12-28 10:00:00,-24.87 mm
2024-12-28 16:00:00,-24.38 mm
2024-12-28 22:00:00,-24.76 mm
2024-12-29 04:00:00,-24.71 mm
2024-12-29 07:00:00,-25.06 mm
2024-12-29 10:00:00,-24.80 mm
2024-12-29 16:00:00,-23.86 mm
